relativePath,folder,filename,sha256,pages,title,author,creator,producer,creationDate,encrypted,pageSize,sampleTextCharacters,textLayer,error
"JAZZ - SWING/John Riley — Jazz Drummer's Workshop.pdf","JAZZ - SWING","John Riley — Jazz Drummer's Workshop.pdf","9e761b1fd58e72b2d2d1ff56e99464ff577864822efdbb1070ea9dd5cda7fc89","66","","","","pypdf","","no","751.92 x 1032.96 pts","0","weak-or-scanned",""
"LATIN - SALSA - CARIBBEAN 🌴/Afro-Cuban Grooves — Guajira - Son Montuno - Guaguancó - Mambo - Salsa.pdf","LATIN - SALSA - CARIBBEAN 🌴","Afro-Cuban Grooves — Guajira - Son Montuno - Guaguancó - Mambo - Salsa.pdf","6e48001c173ec7515eefd9a7f04e49f3ea63d2f98a0d7d153d3d1ee4c94be2e1","73","","","","pypdf","","no","751.92 x 1033.92 pts","0","weak-or-scanned",""
"LATIN - SALSA - CARIBBEAN 🌴/Afro-Cuban Rhythms — Bembé - Cascara - Songo - Mozambique.pdf","LATIN - SALSA - CARIBBEAN 🌴","Afro-Cuban Rhythms — Bembé - Cascara - Songo - Mozambique.pdf","d9d0cc68c73fc93d58e71c2581f6bc600f71b26faf97567ac21a9a01447da694","64","","","","pypdf","","no","751.92 x 1047.12 pts","0","weak-or-scanned",""
"LATIN - SALSA - CARIBBEAN 🌴/Afro-Cuban Songs & Rhythms Guide.pdf","LATIN - SALSA - CARIBBEAN 🌴","Afro-Cuban Songs & Rhythms Guide.pdf","430d67e308d3ef28448b3fcbddba8c9a8bb5bb5737f938719052124a1438efd9","3","","","","pypdf","","no","751.92 x 972 pts","2562","present",""
"LATIN - SALSA - CARIBBEAN 🌴/Timba-Go — Cuban Timba - Rockason - Cuban Hip-Hop.pdf","LATIN - SALSA - CARIBBEAN 🌴","Timba-Go — Cuban Timba - Rockason - Cuban Hip-Hop.pdf","81437d754683c17dc101e1da859d34e36770cfb25596237ac11a4b8b452cacc4","4","","","","pypdf","","no","751.92 x 1025.04 pts","4386","present",""
"NEW ORLEANS - SECOND LINE ⚜️/100 Years of New Orleans Drumming.pdf","NEW ORLEANS - SECOND LINE ⚜️","100 Years of New Orleans Drumming.pdf","4ef0272514a02e9a9bbe69465fcb35fb9dafa5e4ee087e9c096343f7f1719bbd","16","","","","pypdf","","no","751.92 x 1056 pts","0","weak-or-scanned",""
"NEW ORLEANS - SECOND LINE ⚜️/Drum Book — New Orleans - Second Line - Swamp - Funk.pdf","NEW ORLEANS - SECOND LINE ⚜️","Drum Book — New Orleans - Second Line - Swamp - Funk.pdf","3187600027fe3e853aacafd7634af8ed745b23c1bba149361174a339016d3b69","30","","","","pypdf","","no","751.92 x 972 pts","0","weak-or-scanned",""
"NEW ORLEANS - SECOND LINE ⚜️/John Riley — The Jazz Drummer's Workshop.pdf","NEW ORLEANS - SECOND LINE ⚜️","John Riley — The Jazz Drummer's Workshop.pdf","9e761b1fd58e72b2d2d1ff56e99464ff577864822efdbb1070ea9dd5cda7fc89","66","","","","pypdf","","no","751.92 x 1032.96 pts","0","weak-or-scanned",""
"REFERENCE - SOURCES FOR FINDING EVEN MORE BOOKS/Afro-Cuban Drumming Resources — 17 Book Bibliography.pdf","REFERENCE - SOURCES FOR FINDING EVEN MORE BOOKS","Afro-Cuban Drumming Resources — 17 Book Bibliography.pdf","5d8d9032aea1d5b338a992a1336c1857a220474f5a747c163d459b7a50d55946","2","","","","pypdf","","no","751.92 x 972 pts","1970","present",""
"REFERENCE - SOURCES FOR FINDING EVEN MORE BOOKS/Drums & Percussion — Large Method Catalogue.pdf","REFERENCE - SOURCES FOR FINDING EVEN MORE BOOKS","Drums & Percussion — Large Method Catalogue.pdf","595703bb31c19039683b634ee32e9147f2b05c10f62ad657286ccef4e35b5460","48","","","","pypdf","","no","751.92 x 985.92 pts","101890","present",""
"REFERENCE - SOURCES FOR FINDING EVEN MORE BOOKS/Drumset FUNdamentals — Large Recommended Book List.pdf","REFERENCE - SOURCES FOR FINDING EVEN MORE BOOKS","Drumset FUNdamentals — Large Recommended Book List.pdf","39ddc4b77dcaeb4025853d52c635a0a1205d5eca191c9868fc9e011af59267cf","12","","","","pypdf","","no","751.92 x 972 pts","17008","present",""
"REFERENCE - SOURCES FOR FINDING EVEN MORE BOOKS/Drumset Student Book List — Jazz - Funk - Soul - Latin - African.pdf","REFERENCE - SOURCES FOR FINDING EVEN MORE BOOKS","Drumset Student Book List — Jazz - Funk - Soul - Latin - African.pdf","9f544947c841f00f8e5a361c1c3165dca11d515229436e0c3cd70a2a94ccfe90","32","","","","pypdf","","no","751.92 x 972 pts","27515","present",""
"REFERENCE - SOURCES FOR FINDING EVEN MORE BOOKS/Percussion Repertoire Guide — Drumset - World Percussion.pdf","REFERENCE - SOURCES FOR FINDING EVEN MORE BOOKS","Percussion Repertoire Guide — Drumset - World Percussion.pdf","e584c291e03427f9b19363222c40d394afb7933250f923b6bf3f0f236806aa6c","13","","","","pypdf","","no","751.92 x 1062.96 pts","16509","present",""
"REFERENCE - SOURCES FOR FINDING EVEN MORE BOOKS/UNT Jazz Drumset Curriculum — Brazilian - Jazz - Latin Sources.pdf","REFERENCE - SOURCES FOR FINDING EVEN MORE BOOKS","UNT Jazz Drumset Curriculum — Brazilian - Jazz - Latin Sources.pdf","3eb3fd3149551647c577957bd0382fdb3ba8e522f582726ba567c5f607c83a08","9","","","","pypdf","","no","751.92 x 972 pts","26691","present",""
"REGGAE - SKA - CARIBBEAN 🇯🇲/Bass & Drum Grooves — Reggae.pdf","REGGAE - SKA - CARIBBEAN 🇯🇲","Bass & Drum Grooves — Reggae.pdf","915091f5c74dc241c406d570562650ecbba302ddb32a975eac133c16b03fb832","4","","","","pypdf","","no","751.92 x 1061.04 pts","1539","present",""
"REGGAE - SKA - CARIBBEAN 🇯🇲/Drum Book — Reggae One Drop - Ska - Calypso - Soca.pdf","REGGAE - SKA - CARIBBEAN 🇯🇲","Drum Book — Reggae One Drop - Ska - Calypso - Soca.pdf","3187600027fe3e853aacafd7634af8ed745b23c1bba149361174a339016d3b69","30","","","","pypdf","","no","751.92 x 972 pts","0","weak-or-scanned",""
"REGGAE - SKA - CARIBBEAN 🇯🇲/Progressive Drum Grooves — Rock - Funk - Rap - Reggae.pdf","REGGAE - SKA - CARIBBEAN 🇯🇲","Progressive Drum Grooves — Rock - Funk - Rap - Reggae.pdf","4f2f3846064c45c20193463d12fe1587a3602a66f7567d431205a39add9945b4","64","","","","pypdf","","no","751.92 x 1049.04 pts","0","weak-or-scanned",""
"WEST AFRICAN - AFRICAN 🌍/Franck Agulhon Drumbook — Afro - Gnawa - Mangambeu - Bembé.pdf","WEST AFRICAN - AFRICAN 🌍","Franck Agulhon Drumbook — Afro - Gnawa - Mangambeu - Bembé.pdf","e9fb2404ba2532d0fef20dbfe9d4d99f4c7a2b386d936789c6609ca998e0c35f","245","","","","pypdf","","no","751.92 x 1060.08 pts","0","weak-or-scanned",""
"WEST AFRICAN - AFRICAN 🌍/West African Rhythms — Hartigan.pdf","WEST AFRICAN - AFRICAN 🌍","West African Rhythms — Hartigan.pdf","b1eff749959303d1c3b44ced4f88c5b6ed26b4b6b849c65f0b0b79a7b3d9921c","7","","","","pypdf","","no","751.92 x 1002 pts","495","present",""
