"canonicalId","family","tradition","archetype","strongSourceCount","anySourceCount","sourcePages"
"CAN-140","Latin America","Brazil","Bossa Nova","8","14","PDF-6e48001c173e:5|71; PDF-3187600027fe:3|21|24; PDF-3d5df133b728:4|5|6|7|8|9|10|62|65|67|68|69|70|71|72|76|77|78|80; PDF-5b17d3b0173f:3|5|6; PDF-f97e3e83bf02:6|9|11|18|29|76|77|82|84|85|89|90|91|92|93; PDF-30b03bbca266:94; PDF-7064fe3e54b3:82; PDF-09d278110e3e:85|86|91; PDF-a5bdd4a6ddc2:2; PDF-2bb56376b3d0:1; PDF-343bd7b5fc90:4; PDF-9e761b1fd58e:63; PDF-595703bb31c1:23|34|37; PDF-3eb3fd314955:2|3|6"
"CAN-141","Latin America","Brazil","Samba Batucada","6","7","PDF-3187600027fe:3|22; PDF-5b17d3b0173f:6; PDF-36bf5e94d8ea:4; PDF-f97e3e83bf02:46|87; PDF-7064fe3e54b3:82; PDF-2792e4f7409a:81; PDF-a6fb626f326f:81"
"CAN-142","Latin America","Brazil","Samba Partido Alto","4","4","PDF-3187600027fe:3|21|23; PDF-3d5df133b728:4|5|6|7|62|63|64; PDF-f97e3e83bf02:9|47|50|77|81|90|91|92; PDF-3eb3fd314955:6"
"CAN-143","Latin America","Brazil","Samba-Reggae","2","2","PDF-f97e3e83bf02:31|90|91; PDF-3eb3fd314955:6"
"CAN-144","Latin America","Brazil","Baião","4","6","PDF-3187600027fe:3|21|23; PDF-3d5df133b728:4|5|6|7|8|10|14; PDF-5b17d3b0173f:2|8; PDF-f97e3e83bf02:6|8|11|63|65|69|70|71|72|81|89|90|91|93; PDF-595703bb31c1:37; PDF-3eb3fd314955:6"
"CAN-145","Latin America","Brazil","Maracatu","3","5","PDF-5b17d3b0173f:2|9|10; PDF-bb2244d5c087:6|7|9|11; PDF-f97e3e83bf02:17|30|69|85|90|91|93; PDF-595703bb31c1:37; PDF-3eb3fd314955:6"
"CAN-146","Latin America","Brazil","Frevo","1","3","PDF-5b17d3b0173f:9|10; PDF-595703bb31c1:37; PDF-3eb3fd314955:6"
"CAN-147","Latin America","Brazil","Ijexá / Afoxê","2","4","PDF-5b17d3b0173f:3|9|10; PDF-f97e3e83bf02:5|7|8|11|17|21|28|34|35|51|52|53|54|55|56|57|58|59|60|61|62|82|87|91; PDF-595703bb31c1:23; PDF-3eb3fd314955:6"
"CAN-148","Latin America","Brazil","Samba-Funk","0","0",""
"CAN-149","Latin America","Brazil","Samba-Jazz","0","0",""
"CAN-150","Latin America","Brazil","Choro / Maxixe Drum-Set Adaptation","0","0",""
"CAN-151","Latin America","Colombia & Venezuela","Traditional Colombian Cumbia","0","0",""
"CAN-152","Latin America","Colombia & Venezuela","Porro / Porro Chocoano","0","0",""
"CAN-153","Latin America","Colombia & Venezuela","Chandé","1","1","PDF-f40b6fc1f4f1:3"
"CAN-154","Latin America","Colombia & Venezuela","Currulao Drum-Set Adaptation","0","0",""
"CAN-155","Latin America","Colombia & Venezuela","Joropo","1","1","PDF-3187600027fe:3|29"
"CAN-156","Latin America","Colombia & Venezuela","Merengue Venezolano","0","0",""
"CAN-157","Latin America","Peru / Argentina / Uruguay","Festejo","0","0",""
